Date,AAPL,IBM,CSCO,MSFT
1/31/2013,497.822381,197.271905,20.699524,27.236667
2/28/2013,456.808953,200.735788,20.988947,27.704211
3/31/2013,441.840998,210.978001,21.335,28.141
4/30/2013,419.764998,204.733636,20.914545,29.870909
5/31/2013,446.45273,205.263639,22.386364,33.950909
6/30/2013,425.537999,200.85,24.3755,34.6325
7/31/2013,429.157272,194.354546,25.378636,33.650454
8/31/2013,484.843635,187.125,24.948636,32.485
9/30/2013,480.184499,188.767,24.08,32.5235
10/31/2013,504.744783,180.710002,22.847391,34.382174
11/30/2013,524.616499,181.333502,22.204,37.3625
12/31/2013,559.657613,179.114763,21.257619,37.455715
